offspring_id known_id candidate_id session new_offspring_id id_flow
1.MO2.02_H2_R2_02 1.MO2.02 1.MO2.03 1.MO2 1.MO2.02_H2_R2_02 1.MO2.02_H2_R2
1.MO2.04_H1_R1_01 1.MO2.04 1.MO2.09 1.MO2 1.MO2.04_H1_R1_01 1.MO2.04_H1_R1
1.MO2.04_H1_R1_02 1.MO2.04 1.MO2.03 1.MO2 1.MO2.04_H1_R1_02 1.MO2.04_H1_R1
1.MO2.04_H1_R1_03 1.MO2.04 1.MO2.09 1.MO2 1.MO2.04_H1_R1_03 1.MO2.04_H1_R1
1.MO2.04_H1_R1_04 1.MO2.04 1.MO2.09 1.MO2 1.MO2.04_H1_R1_04 1.MO2.04_H1_R1
1.MO2.04_H1_R2_01 1.MO2.04 1.MO2.09 1.MO2 1.MO2.04_H1_R2_01 1.MO2.04_H1_R2
1.MO2.04_H1_R2_02 1.MO2.04 1.MO2.09 1.MO2 1.MO2.04_H1_R2_02 1.MO2.04_H1_R2
1.MO2.04_H2_R1_02 1.MO2.04 1.MO2.04 1.MO2 1.MO2.04_H2_R1_02 1.MO2.04_H2_R1
1.MO2.04_H2_R1_03 1.MO2.04 1.MO2.04 1.MO2 1.MO2.04_H2_R1_03 1.MO2.04_H2_R1
1.MO2.05_H1_R1_01 1.MO2.05 1.MO2.05 1.MO2 1.MO2.05_H1_R1_01 1.MO2.05_H1_R1
1.MO2.06_H1_R1_01 1.MO2.06 1.MO2.06 1.MO2 1.MO2.06_H1_R1_01 1.MO2.06_H1_R1
1.MO2.06_H1_R2_01 1.MO2.06 1.MO2.06 1.MO2 1.MO2.06_H1_R2_01 1.MO2.06_H1_R2
1.MO2.06_H1_R2_02 1.MO2.06 1.MO2.06 1.MO2 1.MO2.06_H1_R2_02 1.MO2.06_H1_R2
1.MO2.06_H1_R2_03 1.MO2.06 1.MO2.06 1.MO2 1.MO2.06_H1_R2_03 1.MO2.06_H1_R2
1.MO2.06_H1_R2_05 1.MO2.06 1.MO2.06 1.MO2 1.MO2.06_H1_R2_05 1.MO2.06_H1_R2
1.MO2.06_H1_R2_06 1.MO2.06 1.MO2.06 1.MO2 1.MO2.06_H1_R2_06 1.MO2.06_H1_R2
1.MO2.06_H1_R2_07 1.MO2.06 1.MO2.06 1.MO2 1.MO2.06_H1_R2_07 1.MO2.06_H1_R2
1.MO2.06_H1_R2_08 1.MO2.06 1.MO2.06 1.MO2 1.MO2.06_H1_R2_08 1.MO2.06_H1_R2
1.MO2.06_H1_R2_09 1.MO2.06 1.MO2.06 1.MO2 1.MO2.06_H1_R2_09 1.MO2.06_H1_R2
1.MO2.06_H1_R2_10 1.MO2.06 1.MO2.06 1.MO2 1.MO2.06_H1_R2_10 1.MO2.06_H1_R2
1.MO2.06_H1_R2_11 1.MO2.06 1.MO2.06 1.MO2 1.MO2.06_H1_R2_11 1.MO2.06_H1_R2
1.MO2.06_H1_R2_12 1.MO2.06 1.MO2.06 1.MO2 1.MO2.06_H1_R2_12 1.MO2.06_H1_R2
1.MO2.06_H1_R2_13 1.MO2.06 1.MO2.06 1.MO2 1.MO2.06_H1_R2_13 1.MO2.06_H1_R2
1.MO2.06_H1_R3_01 1.MO2.06 1.MO2.06 1.MO2 1.MO2.06_H1_R3_01 1.MO2.06_H1_R3
1.MO2.06_H1_R3_02 1.MO2.06 1.MO2.06 1.MO2 1.MO2.06_H1_R3_02 1.MO2.06_H1_R3
1.MO2.06_H2_R1_01 1.MO2.06 1.MO2.06 1.MO2 1.MO2.06_H2_R1_01 1.MO2.06_H2_R1
1.MO2.06_H2_R1_02 1.MO2.06 1.MO2.06 1.MO2 1.MO2.06_H2_R1_02 1.MO2.06_H2_R1
1.MO2.06_H2_R1_03 1.MO2.06 1.MO2.06 1.MO2 1.MO2.06_H2_R1_03 1.MO2.06_H2_R1
1.MO2.06_H2_R1_05 1.MO2.06 1.MO2.06 1.MO2 1.MO2.06_H2_R1_05 1.MO2.06_H2_R1
1.MO2.06_H2_R1_07 1.MO2.06 1.MO2.06 1.MO2 1.MO2.06_H2_R1_07 1.MO2.06_H2_R1
1.MO2.06_H2_R1_08 1.MO2.06 1.MO2.06 1.MO2 1.MO2.06_H2_R1_08 1.MO2.06_H2_R1
1.MO2.06_H2_R1_09 1.MO2.06 1.MO2.06 1.MO2 1.MO2.06_H2_R1_09 1.MO2.06_H2_R1
1.MO2.06_H2_R1_10 1.MO2.06 1.MO2.06 1.MO2 1.MO2.06_H2_R1_10 1.MO2.06_H2_R1
1.MO2.06_H2_R1_11 1.MO2.06 1.MO2.06 1.MO2 1.MO2.06_H2_R1_11 1.MO2.06_H2_R1
1.MO2.06_H2_R2_01 1.MO2.06 1.MO2.06 1.MO2 1.MO2.06_H2_R2_01 1.MO2.06_H2_R2
1.MO2.06_H2_R2_02 1.MO2.06 1.MO2.06 1.MO2 1.MO2.06_H2_R2_02 1.MO2.06_H2_R2
1.MO2.06_H2_R2_03 1.MO2.06 1.MO2.06 1.MO2 1.MO2.06_H2_R2_03 1.MO2.06_H2_R2
1.MO2.06_H2_R2_04 1.MO2.06 1.MO2.06 1.MO2 1.MO2.06_H2_R2_04 1.MO2.06_H2_R2
1.MO2.06_H2_R2_05 1.MO2.06 1.MO2.06 1.MO2 1.MO2.06_H2_R2_05 1.MO2.06_H2_R2
1.MO2.06_H2_R2_06 1.MO2.06 1.MO2.06 1.MO2 1.MO2.06_H2_R2_06 1.MO2.06_H2_R2
1.MO2.06_H2_R2_07 1.MO2.06 1.MO2.06 1.MO2 1.MO2.06_H2_R2_07 1.MO2.06_H2_R2
1.MO2.06_H2_R2_08 1.MO2.06 1.MO2.06 1.MO2 1.MO2.06_H2_R2_08 1.MO2.06_H2_R2
1.MO2.06_H2_R2_09 1.MO2.06 1.MO2.06 1.MO2 1.MO2.06_H2_R2_09 1.MO2.06_H2_R2
1.MO2.06_H2_R2_10 1.MO2.06 1.MO2.06 1.MO2 1.MO2.06_H2_R2_10 1.MO2.06_H2_R2
1.MO2.06_H2_R2_11 1.MO2.06 1.MO2.06 1.MO2 1.MO2.06_H2_R2_11 1.MO2.06_H2_R2
1.MO2.06_H2_R2_12 1.MO2.06 1.MO2.06 1.MO2 1.MO2.06_H2_R2_12 1.MO2.06_H2_R2
1.MO2.06_H2_R2_13 1.MO2.06 1.MO2.06 1.MO2 1.MO2.06_H2_R2_13 1.MO2.06_H2_R2
1.MO2.06_H2_R2_14 1.MO2.06 1.MO2.06 1.MO2 1.MO2.06_H2_R2_14 1.MO2.06_H2_R2
1.MO2.06_H2_R2_15 1.MO2.06 1.MO2.06 1.MO2 1.MO2.06_H2_R2_15 1.MO2.06_H2_R2
1.MO2.06_H2_R2_16 1.MO2.06 1.MO2.06 1.MO2 1.MO2.06_H2_R2_16 1.MO2.06_H2_R2
1.MO2.06_H2_R2_17 1.MO2.06 1.MO2.06 1.MO2 1.MO2.06_H2_R2_17 1.MO2.06_H2_R2
1.MO2.06_H2_R2_18 1.MO2.06 1.MO2.06 1.MO2 1.MO2.06_H2_R2_18 1.MO2.06_H2_R2
1.MO2.06_H2_R2_19 1.MO2.06 1.MO2.06 1.MO2 1.MO2.06_H2_R2_19 1.MO2.06_H2_R2
